,alpha,L1_wt,avg_mse,overdis_params
0,0.01,0.1,54.22650839069981,4.290659309563704
1,0.01,0.5,54.33465960522771,4.296869929709914
2,0.01,0.9,54.46390369019493,4.3205493178791725
3,0.01,1.0,54.37013388944666,4.296869929709914
4,0.1,0.1,55.72170737034769,4.333666054237197
5,0.1,0.5,57.20600979952194,4.372102119759109
6,0.1,0.9,58.20250269615194,4.697114253030621
7,0.1,1.0,58.26772243998629,4.737102167903183
8,0.5,0.1,59.902721347621686,4.419589312842709
9,0.5,0.5,64.39168715448085,5.132007130189994
10,0.5,0.9,69.47926095566899,5.6677066973776995
11,0.5,1.0,70.5673823967592,5.744035537609477
12,1.0,0.1,63.49381609022212,4.8062976016890175
13,1.0,0.5,72.05529290781166,5.744035537609477
14,1.0,0.9,75.68889084872042,8.112571240901516
15,1.0,1.0,76.02274287059947,8.310892996752175
16,10.0,0.1,75.0601724125688,8.078447409578386
17,10.0,0.5,76.96686050535803,8.310892996752175
18,10.0,0.9,76.8978854394776,8.310892996752175
19,10.0,1.0,76.88540160516706,8.310892996752175
